temperature,run,timestamp,latency_ms,tags,summary
0.0,1,2026-08-31T07:11:31Z,124611.7,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.7,1,2026-08-31T07:12:47Z,76248.31,"[""furnished two-bedroom"", ""secure parking"", ""convenient access""]",Furnished two-bedroom apartment with secure parking and public transit access near San Jose State University.
0.0,2,2026-08-31T07:18:41Z,83773.54,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,3,2026-08-31T07:19:56Z,75367.47,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,4,2026-08-31T07:21:11Z,75456.98,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,5,2026-08-31T07:22:25Z,73531.77,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,6,2026-08-31T07:23:44Z,79012.91,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,7,2026-08-31T07:25:03Z,78956.3,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,8,2026-08-31T07:26:15Z,72173.54,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,9,2026-08-31T07:27:40Z,85344.74,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,10,2026-08-31T07:28:54Z,73139.73,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,11,2026-08-31T07:30:06Z,72522.67,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,12,2026-08-31T07:31:20Z,74202.35,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,13,2026-08-31T07:32:34Z,73314.1,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,14,2026-08-31T07:33:47Z,73390.3,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,15,2026-08-31T07:34:59Z,72281.5,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,16,2026-08-31T07:36:08Z,68528.1,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,17,2026-08-31T07:37:18Z,70107.75,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,18,2026-08-31T07:39:01Z,102881.5,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,19,2026-08-31T07:40:22Z,81554.24,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.0,20,2026-08-31T07:41:37Z,74845.11,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]",Furnished two-bedroom apartment near SJSU offers in-unit laundry and secure parking with public transit access.
0.7,2,2026-08-31T07:43:08Z,90976.42,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""in-unit laundry""]",Furnished two-bedroom apartment near SJSU with in-unit laundry and secure parking.
0.7,3,2026-08-31T07:44:30Z,81838.54,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""in-unit laundry""]",Furnished two-bedroom apartment near SJSU features in-unit laundry and public transit access.
0.7,4,2026-08-31T07:45:52Z,82292.29,"[""furnished two-bedroom"", ""in-unit laundry"", ""two-bedroom apartment near sjsu""]",A furnished two-bedroom apartment with in-unit laundry and secure parking is available near SJSU.
0.7,5,2026-08-31T07:47:12Z,79440.27,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""secure parking""]","Furnished two-bedroom apartment near SJSU has in-unit laundry, secure parking, and public transit access."
0.7,6,2026-08-31T07:48:24Z,71812.18,"[""two-bedroom apartment near sjsu"", ""secure parking"", ""furnished two-bedroom""]",Furnished two-bedroom apartment near SJSU with secure parking and public transit access.
0.7,7,2026-08-31T07:49:38Z,74880.05,"[""furnished two-bedroom"", ""in-unit laundry"", ""two-bedroom apartment near sjsu""]",Furnished two-bedroom apartment with in-unit laundry and secure parking near SJSU campus.
0.7,8,2026-08-31T07:51:08Z,89189.75,"[""two-bedroom apartment near sjsu"", ""furnished two-bedroom"", ""in-unit laundry""]",A furnished two-bedroom apartment near SJSU features in-unit laundry and secure parking with public transit access.
